,Acrophthalmyda_paulseni,Adalia_deficiens,Allograpta,Allograpta_hortensis,Allograpta_pulchra,Alloscirtetica,Alloscirtetica_gayi,Alloscirtetica_lanosa,Alloscirtetica_rufitarsis,Alloscirtetica_tristrigata,Aneriophora_aureorufa,Anthidium,Anthidium_chilense,Anthidium_decaspilum,Anthidium_funereum,Anthidium_gayi,Anthophora_incerta,Anthophora_paranensis,Anthrax,Anthrenoides,Apis_mellifera,Argyrophorus_,Arthrobrachus,Arthrobrachus_nigromaculatus,Astylus_trifasciatus,Auca_coctei,Bibionidae,Bilyaxia_concinna,Blatta_orientalis,Bombus,Bombus_dahlbomii,Bombus_ruderatus,Bombus_terrestris,Bombyliidae,Cadeguala_albopilosa,Cadeguala_occidentalis,Caenohalictus,Caenohalictus_azarae,Caenohalictus_dolator,Caenohalictus_rostraticeps,Calliopsis_trifasciata,Caupolicana_hirsuta,Centris,Centris_chilensis,Centris_cineraria,Centris_nigerrima,Chalepogenus,Chalepogenus_caeruleus,Chalepogenus_herbsti,Chauliognathus,Chenoderus_testaceus,Chilicola,Chilicola_chalcidiformis,Coelioxys,Colias_vauthierii,Colletes_araucariae,Colletes_cognatus,Colletes_cyanescens,Colletes_fulvipes,Colletes_musculus,Colletes_nigritulus,Colletes_seminitidus,Corynura_chilensis,Corynura_chloris,Corynura_corinogaster,Corynura_cristata,Corynura_herbsti,Corynura_lepida,Corynura_patagonica,Corynura_rubella,Cosmosatyrus,Dasybasis,Dasydema_hirtella,Dasyomma_caeruleum,Diadasia_chilensis,Diphaglossa_gayi,Dolichogyna_chilensis,Elaenia_albiceps,Elaphroptera,Epiclopus_gayi,Eristalis_tenax,Eryphus_laetus,Eurymetopum,Faunula,Faunula_leucoglene,Fazia_macquarti,Haplous_,Hylephila,Hylephila_fasciolata,Hypodynerus,Hypodynerus_chiliensis,Hypodynerus_colocolo,Isepeolus,Lasia_aenea,Lasia_corvina,Lasioglossum,Leioproctus,Leioproctus_semicyaneus,Leptoglossus_chilensis,Lichnia_limbata,Lonchopria_zonalis,Manduca_sexta,Manuelia,Manuelia_gayatina,Manuelia_gayi,Manuelia_postica,Mathania_leucothea,Mecopselaphus,Megachile,Megachile_cinerea,Megachile_rotundata,Megachile_saulcyi,Megachile_semirufa,Megalybus_crassus,Melanophthalma,Melissoptila,Mesonychium,Mitrodetus_dentitarsis,Mordella,Mycteromyia,Mycteromyia_conica,Neofidelia_profuga,Neomaenas,Notanthidium_steloides,Nymphalidae_,Peleteria_filipalpis,Pepsis_limbata,Phoebis,Phulia_nymphula,Platycheirus_chalconota,Platycheirus_fenestrata,Protopsilapha,Pseudagapostemon_pissisi,Pseudolucia_chilensis,Rhopalomerus_tenuirostris,Rhynchalastor_scabriusculus,Romanophora,Ruizantheda,Ruizantheda_mutabilis,Ruizantheda_proxima,Scaeva_melanostoma,Scaptia,Seioptera_importans,Solenopsis_gayi,Sphecodes_chilensis,Sphex_latreillei,Spinoliella_herbsti,Stilbosoma_cyaneum,Svastrides_melanura,Syrphus,Syrphus_octomaculatus,Syrphus_reedi,Tatochila,Tatochila_blanchardi,Tatochila_mercedis,Toxomerus_calceolatus ,Trichophthalma,Trichophthalma_barbarossa,Trichophthalma_subaurata,Trichothurgus_,Trichothurgus_dubius,Trichothurgus_wagenknechti,Triploechus_heteronevrus,Turdus_falcklandii ,Vanessa_carye,Vanessa_terpsichore,Vespula_germanica,Villa,Yramea,Yramea_cytheris,Yramea_lathonoides
Acacia_dealbata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaena_pinnatifida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adesmia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adesmia_capitellata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adesmia_conferta,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adesmia_glomerula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alstroemeria_ligtu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Alstroemeria_pallida,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amomyrtus_luma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amomyrtus_meli,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
