datasetID,creator,eventDate,pubDate,reference,country,stateProvince,municipality,verbatimSite,decimalLatitude,decimalLongitude,northBoundingCoordinate,southBoundingCoordinate,verbatimCoordinates,minimumElevationInMeters,maxElevationInMeters,verbatimElevation,organismQuantityPlants,identificationQualifierPlants,scientificNamePlants,classPlants,familyPlants,genusPlants,specificEpithetPlants,infraspecificEpithetPlants,taxonRankPlants,taxonRemarksPlants,establishmentMeansPlants,habitPlants,selfIncompatabilityPlants,organismQuantityAnimals,identificationQualifierAnimals,scientificNameAnimals,classAnimals,orderAnimals,familyAnimals,subfamilyAnimals,genusAnimals,specificEpithetAnimals,taxonRankAnimals,taxonRemarksAnimals,establishmentMeansAnimals,interactionType,interactionTypeIRI,resourceCollected,samplingProtocol,sampleSizeValue,samplingSizeUnit
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Antillanca, X Region",-40.729,-72.188,-38,-42.9,38°- 42° S,NA,NA,,NA,,Aristotelia chilensis,Magnoliopsida,Elaeocarpaceae,Aristotelia,chilensis,,species,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Cordillera of Piuchue in Chiloe, X Region",-42.377,-73.999,-38,-42.9,38°- 42° S,NA,NA,,NA,,Asteranthera ovata,Magnoliopsida,Gesneriaceae,Asteranthera,ovata,,species,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Cordillera of Piuchue in Chiloe, X Region",-42.377,-73.999,-38,-42.9,38°- 42° S,NA,NA,,NA,,Campsidium ,Magnoliopsida,Bignoniaceae,Campsidium,,,genus,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Antillanca, X Region",-40.729,-72.188,-38,-42.9,38°- 42° S,NA,NA,,NA,,Campsidium ,Magnoliopsida,Bignoniaceae,Campsidium,,,genus,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Cordillera of Piuchue in Chiloe, X Region",-42.377,-73.999,-38,-42.9,38°- 42° S,NA,NA,,NA,,Crinodendron ,Magnoliopsida,Elaeocarpaceae,Crinodendron,,,genus,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Cordillera of Piuchue in Chiloe, X Region",-42.377,-73.999,-38,-42.9,38°- 42° S,NA,NA,,NA,,Desfontainia ,Magnoliopsida,Columelliaceae,Desfontainia,,,genus,Desfontaineaceae,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Antillanca, X Region",-40.729,-72.188,-38,-42.9,38°- 42° S,NA,NA,,NA,,Desfontainia ,Magnoliopsida,Columelliaceae,Desfontainia,,,genus,Desfontaineaceae,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,,NA,NA,-38,-42.9,38°- 42° S,NA,NA,,NA,,Desmaria mutabilis,Magnoliopsida,Loranthaceae,Desmaria,mutabilis,,species,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,,NA,NA,-38,-42.9,38°- 42° S,NA,NA,,NA,,Eccremocarpus ,Magnoliopsida,Bignoniaceae,Eccremocarpus,,,genus,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
1,Giselle Muschett,,1998,"Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236",Chile,Los Lagos,NA,"Cordillera of Piuchue in Chiloe, X Region",-42.377,-73.999,-38,-42.9,38°- 42° S,NA,NA,,NA,,Embothrium coccineum,Magnoliopsida,Proteaceae,Embothrium,coccineum,,species,,native,,,NA,,Sephanoides sephaniodes,Aves,Apodiformes,Trochilidae,,Sephanoides,sephaniodes,species,Sephanoides galeritus,native,pollinated by,http://purl.obolibrary.org/obo/RO_0002456,nectar,,NA,
