file_name,model,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
Acacia_dealbata,max,0.997134325,0.001561485,0.884168714,0.063051728,0.985622168,0.001832353
Acaena_pinnatifida,max,0.991060399,0.003109658,0.896437528,0.082097205,0.979336991,0.00080512
Adesmia,max,0.989194737,0.004041673,0.960414634,0.026583299,0.952674193,0.00131099
Adesmia_capitellata,max,0.99115,0.005020458,0.961853305,0.04562633,0.987405569,0.006972719
Adesmia_conferta,max,0.99664,0.003167838,0.985880035,0.019932575,0.990926171,0.004648984
Adesmia_glomerula,max,0.995033333,0.005609714,0.993430432,0.009290772,0.966058636,0.031247766
Alstroemeria_ligtu,max,0.998814106,0.000684015,0.891329038,0.099177894,0.989669648,4.83E-05
Alstroemeria_pallida,max,0.99805,0.000707107,0.932921405,0.015439681,0.993872389,0.00052345
Amomyrtus_luma,max,0.996058128,0.000405454,0.822714145,0.11075686,0.987051905,0.001576018
Amomyrtus_meli,max,0.99835,0.001202082,0.933174975,0.077719765,0.992390129,0.000339316
Anarthrophyllum_cumingii,max,0.99163,0.001315219,0.965582083,0.026225499,0.969473485,0.016347686
Antirrhinum_,max,0.994771429,0.004404265,0.979843827,0.026949233,0.992897985,0.005183026
Aristotelia_chilensis,max,0.995458452,0.001325265,0.965515499,0.003705012,0.977239691,0.001984317
Asteranthera_ovata,max,0.997095363,0.001425333,0.790783553,0.107021122,0.99002079,0.000847711
Astragalus,max,0.992119091,0.000284128,0.940147566,0.052906539,0.979999918,0.000469429
Azara,max,0.992922692,0.002194602,0.938592852,0.044283106,0.972584126,0.001458796
Azorella_madreporica,max,0.99681,0.001569777,0.981833603,0.010437839,0.983671518,0.005487244
Berberis_darwinii,max,0.996102253,0.000591681,0.946789583,0.03397283,0.982314373,0.001090841
Berberis_empetrifolia,max,0.992344127,0.001743748,0.913357757,0.073354978,0.979249302,0.008600025
Bipinnula_fimbriata,max,0.998586667,0.000490261,0.979601186,0.01500008,0.996013853,0.002312932
Bomarea_salsilla,max,0.998202299,0.000656715,0.900347481,0.015840157,0.990991663,4.22E-05
Bowlesia_tropaeolifolia,max,0.989074242,0.003263405,0.978161884,0.019906136,0.980532425,0.005714147
Brassica_napus,max,0.98825,0.00417193,0.997272923,0.003274913,0.954418458,0.005796172
Brassica_oleracea,max,0.988875,0.00569221,0.968687257,0.015169824,0.97817541,0.000740656
Brassica_rapa,max,0.984016667,0.020388246,0.949383454,0.047153779,0.993710676,0.00113532
Buddleja_globosa,max,0.995298506,0.000755502,0.966276879,0.005869053,0.980970878,0.000375167
Caiophora_coronata,max,0.9908,0.001566513,0.94452157,0.00987744,0.98392377,0.001880721
Calandrinia_affinis,max,0.993725,0.001237437,0.949813666,0.011841718,0.988458622,0.00237644
Calceolaria,max,0.991418792,0.003411197,0.954779626,0.012887331,0.959392569,0.000173727
Calceolaria_arachnoidea,max,0.99714,0.002291026,0.961603758,0.039222804,0.990540861,0.002765588
Calceolaria_biflora,max,0.986957895,0.004361732,0.942570371,0.033264754,0.972464985,0.000891753
Calceolaria_corymbosa,max,0.99829273,0.000296132,0.933994818,0.013063144,0.988272079,0.001270353
Calceolaria_crenatiflora,max,0.997177778,0.000219989,0.977489678,0.00043051,0.99008669,0.00310251
Calceolaria_filicaulis,max,0.9951125,0.002421841,0.929520787,0.073655909,0.98510323,0.003879789
Calceolaria_filicaulis_filicaulis,max,0.99555,7.07E-05,0.993104551,0.009325911,0.97352469,0.018065532
Calceolaria_filicaulis_luxurians,max,0.99524,0.001753625,0.997454462,0.001581617,0.98647348,0.009309291
Calceolaria_purpurea,max,0.997881818,0.000449977,0.949541662,0.054506143,0.993019876,0.002851762
Calceolaria_valdiviana,max,0.9966,0.002699862,0.975663408,0.009021443,0.993967367,0.000121474
Caldcluvia_paniculata,max,0.996590909,0.001054232,0.926502747,0.068623127,0.985949485,0.003182537
Campsidium_valdivianum,max,0.996344667,0.002388135,0.905785354,0.028737382,0.989056958,6.38E-05
Capsicum_annuum,max,0.966383333,0.024489465,0.998198673,0.000607254,0.912513977,0.093675063
Carduus_pycnocephalus,max,0.998968,0.000939038,0.983757574,0.012117398,0.993130214,0.000127802
Cerastium_arvense,max,0.986959,0.005952425,0.852805472,0.135770238,0.968149575,0.002469146
Chaetanthera_euphrasioides,max,0.987152381,0.007609816,0.904726535,0.06528861,0.979314754,0.011828453
Chaetanthera_flabellata,max,0.9792,0.001508494,0.98436479,0.003003091,0.974429038,0.003264174
Chaetanthera_microphylla,max,0.99865,0.000919239,0.962167622,0.019032183,0.995135235,0.002374757
Chloraea_bletioides,max,0.998545455,0.000205704,0.940178409,0.071186495,0.994739183,0.001302899
Chloraea_crispa,max,0.998575,0.000318198,0.957991938,0.050902116,0.995001809,7.67E-05
Chloraea_lamellata,max,0.995933333,0.001508494,0.969219413,0.019491274,0.985770416,0.008563708
Chuquiraga_oppositifolia,max,0.994969935,0.000639631,0.963761779,0.040748971,0.990959955,0.000768632
Cirsium_vulgare,max,0.988038068,0.000460423,0.867271625,0.073347507,0.971012339,0.000418917
Cistanthe,max,0.994909677,5.47E-05,0.930029713,0.019308831,0.982335273,9.02E-05
Colletia_ulicina,max,0.997545455,0.001054232,0.889015743,0.086222547,0.992224478,0.001143846
Colliguaja_odorifera,max,0.99922381,0.000410795,0.901159364,0.117204267,0.991547229,0.000274335
