file_name,model,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
Acrophthalmyda_paulseni,max,0.9945,0.000235702,0.983946921,0.005239661,0.985081244,0.001595826
Adalia_deficiens,max,0.98941,0.005925555,0.922332363,0.098706813,0.980754899,0.002892807
Allograpta_,max,0.9896,0.002262742,0.786610621,0.182941669,0.976925246,0.001092641
Allograpta_hortensis,max,0.992444,0.001476439,0.919541502,0.064586242,0.983732999,0.002684362
Allograpta_pulchra,max,0.992681667,0.006884863,0.910175516,0.006711451,0.985146276,0.004656581
Alloscirtetica_,max,0.993020362,0.000710946,0.872826905,0.108027999,0.976803118,0.002089616
Alloscirtetica_gayi,max,0.995058333,0.00154385,0.852989933,0.073756968,0.987759551,0.001164005
Alloscirtetica_lanosa,max,0.99682,0.000254558,0.939158104,0.026474933,0.991980638,0.001286291
Alloscirtetica_rufitarsis,max,0.946244444,0.046857609,0.962441633,0.03425332,0.986424507,0.000229364
Alloscirtetica_tristrigata,max,0.996714286,0.00114484,0.875117047,0.097809877,0.988291807,0.000163041
Aneriophora_aureorufa,max,0.98695,0.008131728,0.967878129,0.040063804,0.959468506,0.008513931
Anthidium,max,0.987272527,0.002421258,0.948949722,0.003695248,0.967571947,0.000352204
Anthidium_chilense,max,0.996875892,0.000746343,0.805925693,0.169959036,0.984603947,0.000996708
Anthidium_decaspilum,max,0.97319,0.00748119,0.997114802,0.002917989,0.974986788,0.009378052
Anthidium_funereum,max,0.982848485,0.005776848,0.94299566,0.000761794,0.96627742,0.006745579
Anthidium_gayi,max,0.992552,0.0036317,0.910580879,0.082030414,0.98313185,0.000339456
Anthophora_incerta,max,0.989371429,0.00880853,0.995047518,0.000415409,0.984790558,0.003700219
Anthophora_paranensis,max,0.987639286,0.000297995,0.993955463,0.007844987,0.979359753,0.011839379
Anthrax_,max,0.99308,0.002998133,0.989058357,0.000833896,0.98382361,0.003195709
Anthrenoides_,max,0.994246429,0.002126371,0.919074397,0.037112779,0.987554435,0.001693583
Apis_mellifera,max,0.994975,0.002094804,0.890335038,0.011540063,0.983092833,0.000927916
Argyrophorus_,max,0.981230769,0.017884362,0.978741585,0.018433689,0.979920487,0.011746949
Arthrobrachus,max,0.993830769,0.004242641,0.968615986,0.00446417,0.989339699,0.002825122
Arthrobrachus_nigromaculatus,max,0.99658,0.001442498,0.962756685,0.02890548,0.988740286,0.00243452
Astylus_trifasciatus,max,0.997245833,0.000819065,0.889591922,0.129088619,0.986018642,0.00340795
Auca_coctei,max,0.993671937,0.002315286,0.92388904,0.04150683,0.986749083,0.000905688
Bibionidae_,max,0.990866667,0.002357023,0.989202468,0.010939009,0.963385683,0.011432388
Bilyaxia_concinna,max,0.997522222,0.000329983,0.954345379,0.012532455,0.989645111,0.002033996
Blatta_orientalis,max,0.995983333,0.002663436,0.970613736,0.026492503,0.99449355,0.000362864
Bombus_,max,0.993185356,0.002031545,0.919600451,0.024485508,0.966765768,0.001341662
Bombus_dahlbomii,max,0.9904,0.000810816,0.903827902,0.062409826,0.969039273,0.00028529
Bombus_ruderatus,max,0.992180476,0.005939024,0.828853084,0.184928028,0.986407605,0.003622346
Bombus_terrestris,max,0.992449275,0.00172575,0.855422803,0.007074204,0.974829916,0.000664427
Bombyliidae_,max,0.995648222,0.001107834,0.95417487,0.014818666,0.984652804,0.003343686
Cadeguala_albopilosa,max,0.993964286,3.03E-05,0.871656685,0.04566569,0.982918314,0.005380912
Cadeguala_occidentalis,max,0.994226667,0.001338789,0.882954098,0.104598184,0.979683796,0.001795069
Caenohalictus_,max,0.986766667,0.005289159,0.900622184,0.078282134,0.976054219,0.000101138
Caenohalictus_azarae,max,0.97465,0.011101576,0.985185229,0.016720026,0.978352548,0.009995532
Caenohalictus_dolator,max,0.9566,0.009464352,0.965916165,0.026459317,0.976858281,0.007644595
Caenohalictus_rostraticeps,max,0.988533333,0.004902607,0.924915773,0.036172983,0.986780531,0.000896882
Calliopsis_trifasciata,max,0.995883871,0.000255471,0.929099134,0.055393905,0.986409971,0.000428871
Caupolicana_hirsuta,max,0.998129487,0.001078791,0.949983866,0.033076,0.9928904,0.00247621
Centris_,max,0.993164399,0.000651389,0.93294118,0.008855619,0.973474792,0.000557159
Centris_chilensis,max,0.994801411,0.00125711,0.93713013,0.000749517,0.986545478,0.002181877
Centris_cineraria,max,0.995088889,0.001917045,0.91257139,0.042971589,0.987550755,0.000103998
Centris_nigerrima,max,0.995114617,0.000960707,0.857138793,0.171800596,0.986813469,0.000936468
Chalepogenus_,max,0.996627356,0.000828697,0.942927235,0.046061694,0.987185452,0.000181892
Chalepogenus_caeruleus,max,0.996377273,0.001304933,0.945695105,0.004621897,0.988098466,0.001362701
Chalepogenus_herbsti,max,0.987109524,0.012478751,0.990736906,0.011568012,0.987458981,0.009664616
Chauliognathus_,max,0.9667,0.006505382,0.938731328,0.026345599,0.917566511,0.002666753
Chenoderus_testaceus,max,0.997297143,0.000541442,0.951063187,0.004477047,0.98897664,0.000974223
Chilicola_,max,0.989232317,0.005964704,0.916312432,0.08399783,0.979675931,0.001796178
Chilicola_chalcidiformis,max,0.9619,0.005798276,0.979640643,0.008503572,0.896928674,0.005007528
Coelioxys_,max,0.9878,0.001523701,0.92900555,0.061559105,0.975511485,0.001617592
Colias_vauthierii,max,0.981294643,0.003366333,0.943664675,0.024218211,0.968920312,0.006550161
Colletes_araucariae,max,0.995173485,0.000740319,0.819994304,0.220460226,0.985834242,0.000149188
Colletes_cognatus,max,0.992849003,0.001983928,0.874648294,0.074075907,0.983200215,0.002870486
Colletes_cyanescens,max,0.9939,0.00288282,0.909805539,0.053465522,0.986364274,0.001441462
Colletes_fulvipes,max,0.947125,0.002015254,0.845699827,0.202451873,0.97330152,0.002404737
Colletes_musculus,max,0.987757143,0.006727616,0.958164919,0.013349389,0.975001523,0.006706745
Colletes_nigritulus,max,0.993776471,0.001580592,0.914345232,0.09093547,0.984058629,0.004787427
Colletes_seminitidus,max,0.994365714,0.00138997,0.785803931,0.062764599,0.983573863,0.000167914
Corynura_chilensis,max,0.996853333,0.001244508,0.834504269,0.193183274,0.988760035,0.002095167
Corynura_chloris,max,0.99544878,0.000131073,0.77541674,0.193412362,0.983719326,0.001019903
Corynura_corinogaster,max,0.994110591,0.000136196,0.863091434,0.033929699,0.98318252,0.002363843
Corynura_cristata,max,0.998266667,0.000377124,0.971426965,0.03624302,0.993018037,0.00016614
Corynura_herbsti,max,0.998242857,0.001070762,0.986420451,0.009906394,0.993151361,0.000679678
Corynura_lepida,max,0.99584,0.000678823,0.95315431,0.044572732,0.985005154,0.005471529
Corynura_patagonica,max,0.990589011,0.000428926,0.89653688,0.090683238,0.983582347,0.00070393
Corynura_rubella,max,0.99236,0.001583919,0.906904711,0.113623521,0.985780544,0.001659514
Cosmosatyrus,max,0.990030556,0.000734605,0.977906324,0.007127052,0.975000147,0.003985638
Dasybasis,max,0.992273684,0.000357275,0.826897986,0.042501875,0.979931025,0.002094562
Dasydema_hirtella,max,0.99575,0.003181981,0.992403328,0.006280276,0.98058411,0.006699083
Dasyomma_caeruleum,max,0.995956364,0.000164563,0.915472974,0.022917776,0.987096846,0.000995338
Diadasia_chilensis,max,0.99769434,0.000784488,0.859094233,0.087741971,0.986553223,0.001126154
Diphaglossa_gayi,max,0.997896774,0.000748165,0.881420023,0.010092731,0.98949366,0.000352223
Dolichogyna_chilensis,max,0.969280769,0.019826186,0.947582424,0.024580212,0.969461442,0.003577046
Elaenia_albiceps,max,0.993620979,0.000134499,0.983436756,0.001389689,0.944026829,0.001434549
Elaphroptera_,max,0.991966667,0.002734146,0.873455018,0.043016677,0.979849507,0.001682562
Epiclopus_gayi,max,0.995415,0.000374767,0.900565429,0.046430733,0.9870794,0.002310638
Eristalis_tenax,max,0.992502222,0.000622254,0.803370432,0.037605239,0.978513813,0.001426072
